Date,Country,Region,Petrol_Price_USD_per_Liter,Diesel_Price_USD_per_Liter,Natural_Gas_Price_USD_per_MMBtu,Crude_Oil_Price_USD_per_Barrel,Inflation_Rate (%),Exchange_Rate_vs_USD,GDP_Growth (%),Supply_Index,Demand_Index,Geopolitical_Risk_Index,Event_Flag,Event_Description,Currency_Devaluation (%),Subsidy_Level,Tax_Rate_on_Fuel (%),Petrol_7d_MA,Petrol_28d_vol,Petrol_lag_1,Crude_lag_1,Scarcity_Flag,Year,Month,Quarter,Week,Day_Of_Week
2015-01-05,Brazil,Latin America,0.675,0.609,1.769,50.91,2.42,5.1316,0.58,46.7,53.9,20.4,0,No Event,0.32,Medium,20.0,0.675,0.0111023655697216,0.675,50.91,0,2015,1,1,2,0
2015-01-12,Brazil,Latin America,0.687,0.602,1.565,51.57,3.39,5.2201,2.08,39.9,67.4,23.5,0,No Event,-0.41,Medium,20.0,0.681,0.0111023655697216,0.675,50.91,1,2015,1,1,3,0
2015-01-19,Brazil,Latin America,0.71,0.642,1.76,53.96,2.03,5.0857,3.43,60.2,53.8,21.1,0,No Event,0.35,Medium,20.0,0.6906666666666667,0.0111023655697216,0.687,51.57,0,2015,1,1,4,0
2015-01-26,Brazil,Latin America,0.802,0.713,1.5,58.69,2.3,5.2486,1.96,49.1,63.8,24.5,0,No Event,-0.46,Medium,20.0,0.7185,0.0605263446989129,0.71,53.96,0,2015,1,1,5,0
2015-02-02,Brazil,Latin America,0.685,0.65,1.5,52.61,1.96,5.2284,1.83,45.2,53.8,25.4,0,No Event,-0.74,Medium,20.0,0.721,0.1143158875935553,0.802,58.69,0,2015,2,1,6,0
2015-02-09,Brazil,Latin America,0.752,0.677,1.504,56.93,1.93,5.1652,2.23,49.0,52.0,26.9,0,No Event,-0.06,Medium,20.0,0.73725,0.1067140652307509,0.685,52.61,0,2015,2,1,7,0
2015-02-16,Brazil,Latin America,0.796,0.682,1.989,58.99,1.31,5.265,1.96,51.4,59.8,28.9,0,No Event,-0.06,Medium,20.0,0.75875,0.0963355651844082,0.752,56.93,0,2015,2,1,8,0
2015-02-23,Brazil,Latin America,0.754,0.676,1.815,56.16,1.64,5.2038,3.37,60.0,55.0,29.7,0,No Event,-0.46,Medium,20.0,0.74675,0.0935801990339206,0.796,58.99,0,2015,2,1,9,0
2015-03-02,Brazil,Latin America,0.789,0.719,1.589,59.08,1.79,5.3089,1.46,58.5,40.5,23.2,0,No Event,-1.11,Medium,20.0,0.77275,0.0871486027257478,0.754,56.16,0,2015,3,1,10,0
2015-03-09,Brazil,Latin America,0.814,0.699,2.078,60.67,1.82,5.3272,1.8,63.0,44.6,21.5,0,No Event,-0.57,Medium,20.0,0.7882500000000001,0.0815700909421352,0.789,59.08,0,2015,3,1,11,0
2015-03-16,Brazil,Latin America,0.792,0.708,1.617,59.27,1.84,5.2744,0.34,61.1,65.5,27.7,0,No Event,-0.12,Medium,20.0,0.78725,0.0785840355891539,0.814,60.67,0,2015,3,1,12,0
2015-03-23,Brazil,Latin America,0.768,0.707,1.853,59.56,2.02,5.2418,2.52,38.8,55.3,22.7,0,No Event,0.58,Medium,20.0,0.7907500000000001,0.0760165331107227,0.792,59.27,1,2015,3,1,13,0
2015-03-30,Brazil,Latin America,0.792,0.701,1.774,59.89,2.33,5.2205,0.19,35.0,39.8,24.5,0,No Event,0.22,Medium,20.0,0.7915,0.0726404146159293,0.768,59.56,1,2015,3,1,14,0
2015-04-06,Brazil,Latin America,0.782,0.682,1.74,57.41,2.14,5.2552,2.41,52.0,61.0,28.0,0,No Event,-1.63,Medium,20.0,0.7835000000000001,0.0730969162931642,0.792,59.89,0,2015,4,2,15,0
